name,description,price,sale_price,category
Rose,From spray roses to garden roses; there are a plethora of rose varieties to fit nearly any style of wedding.,2.99,,stem
Sunflower,Sunflowers are one of the most popular flower types and are best known for their dazzling yellow color and large size. Sunflowers generally symbolize adoration; loyalty and longevity in the language of flowers.,7,,stem
Upsy daisy,Daisies symbolized innocence; a connotation that comes from the Victorian era. Based on what color the daisy is; the flower can take on another meaning. ,30,,bouquet
Lavander,Lavanders are garden favorites that provide soothing fragrances; flavorings; and beauty all together in little floral packages. Tiny glands on the flowers; leaves; and stems of the plant produce the scented oil that is used in perfumes; bath preparations; lavender water; and in aromatherapy to relieve stress and anxiety and bring about sleep.,11.37,9.5,bouquet
Carnation,Carnations come in 3 different types: large flowered carnations; spray carnations; and dwarf flowered carnations. Large flowered carnations can grow to over 20 inches high with one large bloom per stem. These are also referred to as the florist’s carnation. ,3.95,,stem
Tulip,Like most common flowers; tulips come in a large variety of colors that each have their own meaning.,3.99,,stem
Dahlia,These bold blooms come in a wide range of color and can be easily incorporated into any existing or new garden. And unlike most plants; these flowers thrive in some shade. ,7.9,,stem
Orchid,Orchids generally represent love; fertility; thoughtfulness and charm. However; each variety of these flower types has it’s own color has its own meaning. ,3.49,2.1,stem
Waterfall,"The dramatic cascade bouquets look like a ""waterfall"" of flowers that drapes down the front of the arrangement. Also known as presentation bouquets or pageant bouquets; these types of flowers are a lovely choice for a wedding!",216.42,,cascade
SunRose ,The bold; vibrant mix of sunflowers and roses is known to stimulate happiness and excitement. This arrangement is the perfect pick-me-up for any room or occasion. Order this bouquet for a loved one and send some happy energy their way.,40,,bouquet
Baby's Breath,Baby's breath is blooming with symbolism. Most commonly; this flower is a symbol of everlasting love—which is one reason why it's a popular wedding flower. Baby's breath also represents innocence; which makes it a lovely gesture to include in baby shower gifts and gifts for new mothers.,26.99,,bouquet
Rosy cheeks,Perfectly round spheres of flowers form the sweet pomander bouquet; a style that includes a ribbon handle at the top for carrying or displaying.,76.99,,pomander
Rose Pop,A composite bouquet or glamelia is what you should select to up your glam game for the big day. This unique flower arrangement is also good for various other occasions as it will make a lasting impression on the recipient regardless of the reason for which it is given.,50,,composite
Basket of Joy,As the name suggests; basket bouquets refer to a bunch of flowers arranged in a basket or any other similar container. They are a popular choice for garden weddings and decorating other open-sky venues. They are treasured for their rustic charm and are a must-have for flower girls.,45,30,composite
Hand-Tied,"Freer than other bouquet styles; hand-tied bouquets can include a wide assortment of flowers and greenery such as dusty miller or eucalyptus; and as their ""hand-tied bouquets"" name suggests; are secured simply using ribbon; fabric; or twine (other bouquet styles utilize wire to achieve a precise look).",25.99,,bouquet
